"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","27841","CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION","COVINGTON","KY","SB","35937","24251"
"20131231","1596","COMERICA BANK & TRUST, NATIONAL ASSOCIATION","ANN ARBOR","MI","N","35928","515"
"20131231","18463","HERITAGE BANK","MARION","IA","NM","35881","31850"
"20131231","14024","FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS","MOUND CITY","KS","NM","35852","32179"
"20131231","57125","CHELTEN HILLS SAVINGS BANK","ABINGTON","PA","SI","35802","31698"
"20131231","58063","VISIONBANK","SAINT LOUIS PARK","MN","NM","35784","31249"
"20131231","16686","UNION STATE BANK","KERRVILLE","TX","NM","35744","32635"
"20131231","14096","GENERATIONS BANK","EXETER","NE","NM","35676","25257"
"20131231","17602","CITIZENS STATE BANK","MORLAND","KS","NM","35674","29015"
"20131231","16581","CITIZENS STATE BANK","ANTON","TX","NM","35640","32932"
"20131231","16471","KENDALL STATE BANK","VALLEY FALLS","KS","NM","35629","32317"
"20131231","17640","CAPITAL BANK","ST. PAUL","MN","NM","35606","31389"
"20131231","30065","PEOPLES SAVINGS AND LOAN ASSOCIATION OF MONTICELLO INDIANA","MONTICELLO","IN","SL","35472","22466"
"20131231","57363","CHEYENNE STATE BANK","CHEYENNE","WY","NM","35405","29728"
"20131231","29774","CARROLLTON FEDERAL BANK","CARROLLTON","KY","SB","35402","29152"
"20131231","14058","PETERSBURG STATE BANK","PETERSBURG","NE","NM","35397","30125"
"20131231","10075","PEOPLES STATE BANK OF COLFAX","COLFAX","IL","NM","35381","30995"
"20131231","17401","WENONA STATE BANK","WENONA","IL","NM","35360","28758"
"20131231","59074","BANK OF BIRD-IN-HAND","BIRD IN HAND","PA","NM","35356","19242"
"20131231","31409","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","MOREHEAD","KY","SB","35296","25820"
"20131231","16363","PEOPLES SAVINGS BANK","MONTEZUMA","IA","NM","35291","31736"
"20131231","17205","THE POTTER STATE BANK OF POTTER","POTTER","NE","NM","35274","30962"
"20131231","27897","BLACK MOUNTAIN SAVINGS BANK, SSB","BLACK MOUNTAIN","NC","SI","35271","30585"
"20131231","28723","FIRST SAVINGS BANK","DANVILLE","IL","SI","35085","25285"
"20131231","10120","AMERICAN TRUST AND SAVINGS BANK","LOWDEN","IA","NM","35060","28587"
"20131231","17719","THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA","ARGONIA","KS","NM","35005","30614"
"20131231","10571","FARMERS AND MERCHANTS STATE BANK OF ALPHA","ALPHA","MN","NM","34979","31375"
"20131231","5735","THE STATE BANK OF LIMA","LIMA","IL","SM","34866","29799"
"20131231","8661","FARMERS BANK","PARSONS","TN","SM","34738","30168"
"20131231","22087","FRANKLIN TEMPLETON BANK AND TRUST, F.S.B.","SALT LAKE CITY","UT","SB","34620","512"
"20131231","889","THE BANK OF SOPERTON","SOPERTON","GA","NM","34530","31431"
"20131231","10969","RANDALL STATE BANK","RANDALL","MN","NM","34491","29387"
"20131231","58811","ONE SOUTH BANK","CHIPLEY","FL","NM","34308","28781"
"20131231","492","WESTERN DAKOTA BANK","TIMBER LAKE","SD","NM","34289","31578"
"20131231","8492","GLASFORD STATE BANK","GLASFORD","IL","NM","34279","31453"
"20131231","57232","PCSB COMMERCIAL BANK","BREWSTER","NY","NM","34275","26732"
"20131231","5556","THE FIRST NATIONAL BANK OF THROCKMORTON","THROCKMORTON","TX","N","34165","31432"
"20131231","4652","THE FIRST NATIONAL BANK OF CUNNINGHAM","CUNNINGHAM","KS","N","34163","29746"
"20131231","4180","FIRST STATE BANK OF PORTER","PORTER","OK","NM","34139","28199"
"20131231","358","STOCKMENS BANK","CASCADE","MT","SM","34104","30226"
"20131231","35432","FRONTIER SAVINGS BANK","COUNCIL BLUFFS","IA","SM","34076","29693"
"20131231","18942","THE BANK OF SAN JACINTO COUNTY, COLDSPRING, TEXAS","COLDSPRING","TX","NM","34010","29508"
"20131231","10352","CROWELL STATE BANK","CROWELL","TX","SM","33948","30391"
"20131231","15285","CANTON STATE BANK","CANTON","MO","NM","33944","31016"
"20131231","31266","JACKSON SAVINGS BANK, SSB","SYLVA","NC","SI","33928","27477"
"20131231","19595","THE COMMERCIAL BANK","MASON","TX","NM","33891","30391"
"20131231","14344","FARMERS STATE BANK","PHILLIPSBURG","KS","SM","33854","29725"
"20131231","1421","CBC BANK","BOWLING GREEN","MO","NM","33845","30906"
"20131231","9349","FIRST STATE BANK OF FOUNTAIN","FOUNTAIN","MN","NM","33836","29465"
"20131231","4217","THE BANK OF VERDEN","VERDEN","OK","NM","33776","28407"
"20131231","33802","TIOGA-FRANKLIN SAVINGS BANK","PHILADELPHIA","PA","SI","33760","27798"
"20131231","5163","THE FIRST NATIONAL BANK OF HERMAN","HERMAN","MN","N","33759","31193"
"20131231","20646","FIRST SECURITY BANK OF MALTA","MALTA","MT","SM","33695","29987"
"20131231","9128","HARWOOD STATE BANK","HARWOOD","ND","NM","33661","30054"
"20131231","9417","GRANT COUNTY STATE BANK","CARSON","ND","NM","33653","30152"
"20131231","26614","MEMPHIS STATE BANK","MEMPHIS","TX","SM","33574","30490"
"20131231","9752","MARSHALL COUNTY STATE BANK","NEWFOLDEN","MN","NM","33564","28112"
